랠리	ラリー
아비뇽	アヴィニョン
주룽	九龍
드루	ドリュー
서덜랜드	サザーランド
긴급한	緊急
숙소	宿泊
스캔	スキャン
다름슈타트	ダルムシュタット
빈도	周波数
빈도	頻度
듀이	デューイ
네이비	海軍
네이비	ネイビー
하이든	ハイドン
이발사	理容師
이발사	床屋
평판	評判
무용수	ダンサー
무용수	踊り子
어구	フレーズ
음모론	陰謀
생쥐	ねずみ
생쥐	マウス
왕관	クラウン
휴즈	ヒューズ
어레이	配列
어레이	アレイ
클로비스	クローヴィス
혜택	利点
혜택	アドバンテージ
수하물	荷物
믿기	信じる
믿기	believe
믿기	信ずる
난방	暖房
전문성	専門
어댑터	アダプタ
표범	ヒョウ
해리어	ハリアー
깨달음	実現
깨달음	換価
이스트우드	イーストウッド
에이리언	エイリアン
번스	バーンズ
번스	やけど
네오디뮴	ネオジム
모음집	コレクション
에테르	エーテル
말그대로	文字通り
호박	カボチャ
호박	パンプキン
호박	かぼちゃ
농축	濃縮
구워	焼く
문맥	コンテクスト
문맥	コンテキスト
문맥	context
소심한	臆病
실크	シルク
순교	殉教
루블	ルーブル
학점	クレジット
학점	謝辞
티모시	ティモシー
프로비던스	プロビデンス
부팅	ブート
가디언즈	後見人
소풍	ピクニック
메건	メーガン
설계자	デザイナー
백혈병	白血病
앤드루스	アンドリュース
브란트	ブラント
무서워	怖がる
무서워	怖い
바이러스성	バイラル
옷이	被服
옷이	洋服
쟁점	問題
비키니	ビキニ
헨더슨	ヘンダーソン
굵게	太字
굵게	ボールド
우도	ウド
지능형	知能
지능형	知的
지능형	インテリジェント
카리나	カリーナ
비첸차	ヴィチェンツァ
나탈리아	ナタリア
지지자	サポーター
스테로이드	ステロイド
자원봉사	ボランティア
폐렴	肺炎
아델	アデル
발진	発疹
푸시	プッシュ
푸시	押す
와이어	ワイヤー
흥미	利子
흥미	利息
페소	ペソ
메소드	方法
메소드	メソッド
동반자	コンパニオン
사비	シャビ
희귀	レア
치마	スカート
폐지됨	廃止
태프트	タフト
커리	カレー
약해	弱い
초기화	リセット
그루브	グルーヴ
기다렸다	待つ
기다렸다	待ち
콘도르	コンドル
호아킨	ホアキン
허구	フィクション
아라	ara
종착역	終着駅
종착역	終点
팝스	ポップス
톨스토이	トルストイ
자주색	パープル
난쟁이	ドワーフ
난쟁이	小人
양배추	キャベツ
미코	巫女
입양	養子
입양	採択
섭취	摂取
외할머니	おばあさん
외할머니	祖母
우화	寓話
가부키	歌舞伎
리퍼	リッパー
토로	トロ
건널	クロッシング
작별	別れ
디렉토리	ディレクトリ
페르난두	フェルナンド
질러	叫び
쇼케이스	ショーケース
고립	孤児
시스	シス
박테리아	細菌
박테리아	バクテリア
이리듐	イリジウム
코메디	喜劇
코메디	コメディ
코메디	コメディー
버킹엄	バッキンガム
메릴	メリル
든든한	バッキング
숙모	叔母
숙모	おば
앨리	裏通り
앨리	路地
분대	分隊
알레포	アレッポ
작성자	作家
작성자	著者
작성자	作者
펠레	ペレ
단결	統一
레시피	作り方
레시피	レシピ
두샨베	ドゥシャンベ
항체	抗体
증오	憎悪
증오	嫌い
증오	憎しみ
극적	ドラマチック
놀이터	遊び場
스타게이트	スターゲイト
세부사항	ディテール
게이스케	圭介
불쌍한	かわいそう
가난	貧困
스프린터	スプリンター
예스	はい
미코얀	mig
만두	団子
미시	ミッシー
상표권	商標
에이프릴	四月
에이프릴	エイプリル
도넛	ドーナッツ
도넛	ドーナツ
스킵	スキップ
택배	courier
낙태	流産
클라우디아	クラウディア
발췌	抜粋
피레아스	ピレウス
약혼자	婚約
약혼자	フィアンセ
극복	克服
용서	許す
사다리	ラダー
사다리	ハシゴ
사다리	はしご
사다리	梯子
적용하기	応募
적용하기	適用
발톱	ネイル
일회용	使い捨て
해롤드	ハロルド
유토피아	ユートピア
탈륨	タリウム
세르비아어	セルビア
템플릿	テンプレート
붕소	ホウ素
쿠르디스탄	クルディスタン
대명사	代名詞
드라이	辛口
드라이	ドライ
드라이	乾燥
미켈란젤로	ミケランジェロ
탐욕	欲張り
버티고	めまい
슬라이더	スライダー
도슨	ドーソン
길모어	ギルモア
망각	忘却
해골	髑髏
해골	頭蓋骨
선호	好み
커맨더	司令官
변명	いいわけ
변명	言い訳
셀레늄	セレン
사촌동생	従姉妹
사촌동생	従兄弟
사촌동생	いとこ
가쓰우라	勝浦
젝스키스	ジャック
젝스키스	ジャッキ
데스크	デスク
정장	スーツ
사우스웨스트	南西
헝거	飢え
헝거	空腹
분류법	分類
콘셉시온	コンセプシオン
재클린	ジャクリーヌ
다우니	ダウニー
심문	取調べ
만듭니다	作成
크로아티아인	クロアチア
명시적	明示
앰버	琥珀
앰버	アンバー
윌킨슨	ウィルキンソン
보증	保証
보증	保証書
보증	保障
맨션	マンション
구성요소	コンポーネント
절친	bff
사마륨	サマリウム
보안관	シェリフ
블럭	ブロック
마르첼로	マルケッルス
정직한	正直
트롤	トロール
고슴도치	ハリネズミ
소나기	にわか
소나기	シャワー
당근	にんじん
당근	ニンジン
고흐	ゴッホ
호킹	ホーキング
유투브	youtube
스머프	スマーフ
발가락	爪先
발가락	つま先
마나마	マナーマ
섀도	シャドー
섀도	シャドウ
천안문	天安門
화보	火曜日
트렁크	トランク
리소스	リソース
리소스	資源
윙크	ウインク
속옷	下着
대박	omg
전해질	電解質
페르세우스자리	ペルセウス
토시히코	俊彦
리플리	リプリー
뱅가드	ヴァンガード
로드니	ロドニー
모욕	侮蔑
모욕	侮辱
웹스터	ウェブスター
말투	アクセント
통로로	通路
로웰	ローウェル
계산하기	計算
오스뮴	オスミウム
간간	レバー
간간	肝臓
펄프	パルプ
홍보하기	宣伝
간호	看護
믈라카	マラッカ
마비	麻痺
라파예트	ラファイエット
튀김	天ぷら
갤러거	ギャラガー
소다	ソーダ
매니아	マニア
테이트	テート
테이트	テイト
헨리에타	アンリエッタ
순찰	斥候
순찰	パトロール
공격성	侵略
제조업체	製造業者
제조업체	メーカー
간염	肝炎
바르가스	バルガス
멧돼지	イノシシ
자넷	ジャネット
논증	論証
번트	バント
만성적인	慢性
만성적인	持病
프런티어	フロンティア
횃불	トーチ
횃불	たいまつ
상봉	再会
소화기	消火器
추구	追跡
추구	追求
선더버드	サンダーバード
카메이	亀井
상대편	相手
상대편	相手方
본머스	ボーンマス
아르놀트	アーノルド
아르놀트	アルノルト
미즈	miz
딕슨	ディクソン
스피카	スピカ
명상	瞑想
생리	ピリオド
미용실	サロン
압바스	アッバース
터코마	タコマ
고전주의	クラシカル
고전주의	クラシック
고전주의	古典
타이밍	タイミング
자석	磁石
갈륨	ガリウム
연금술	錬金術
화살표	矢印
화살표	アロー
현수	バナー
현수	横断幕
에뮬레이터	エミュレータ
이리나	イリナ
이리나	イリーナ
장어	ウナギ
식탁	テーブル
파드	ファハド
아방가르드	アバンギャルド
강습	レッスン
강습	授業
카메론	キャメロン
판매하기	売る
주말에	週末
아수라	アスラ
시뮬레이터	シミュレータ
시뮬레이터	シミュレーター
낫다	治る
낫다	治す
낫다	ヒール
클리닉	クリニック
클리닉	診療所
가이드라인	指針
가이드라인	ガイドライン
코이케	小池
조회수	ビュー
클라우디우스	クラウディウス
자갈	砂利
밸런타인	バレンタイン
집단살해	ジェノサイド
스테인리스	ステンレス
허큘리스	ヘラクレス
근사	近似
녹조류	藻類
히라야마	平山
모리구치	守口
재킷	ジャケット
좌절	イライラ
유황	硫黄
바누아투	バヌアツ
로리타	ロリータ
히라사와	平沢
피쉬	魚類
피쉬	フィッシュ
아몬드	アーモンド
바뀌기	チェンジ
바뀌기	変更
바뀌기	変化
마일즈	マイル
퍼지	ファッジ
콩코드	コンコルド
오이디푸스	オイディプス
히카르두	リカルド
커터	カッター
크리크	クリーク
노화	エイジング
노화	老化
디저트	デザート
시연	デモンストレーション
시연	実演
시연	デモ
고치기	フィックス
고치기	修正
메타데이터	メタデータ
변태	変態
부엌	キッチン
부엌	台所
런닝	run
런닝	ラン
런닝	走り
런닝	走る
콜로세움	コロシアム
콜로세움	コロッセオ
갱스터	ギャング
셸리	シェリー
비키	ヴィッキー
뷰어	ビューア
씨엔블루	cnblue
표정	ルック
표정	外観
옵서버	オブザーバー
옵서버	オブザーバ
모뎀	モデム
보조금	補助金
꾸란	クルアーン
꾸란	コーラン
미네랄	鉱物
스페인인	スペイン
플레밍	フレミング
나이트클럽	ナイトクラブ
홍차	お茶
홍차	紅茶
빨라	速い
빨라	高速
강수	降水
강수	沈殿
쿠마	くま
해치	ハッチ
해치	孵化
키키	キー
키키	key
워터스	ウォーターズ
연결하기	コネクト
연결하기	接続
묵주	ロザリオ
러쉬	ラッシュ
케어	ケア
케어	介護
비닐	ビニール
비닐	プラスチック
비닐	プラスティック
대마초	アサ
대마초	大麻
멀린	マーリン
신랑	花婿
유로로	ユーロ
세관	風習
피규어	フィギュア
당나귀	ロバ
농담	ジョーク
다람쥐	リス
호프먼	ホフマン
운전사	運転手
운전사	ドライバ
운전사	ドライバー
예고편	プレビュー
젤리	ゼリー
곤살로	ゴンサロ
프라다	プラダ
루비듐	ルビジウム
수확	収穫
지원자	志願者
효율	効率
안데르센	アンデルセン
더미	ダミー
트랜스포트	トランス
비싸다	高い
비싸다	高額
리츠	リッツ
티파니	ティファニー
싱가폴	シンガポール
전령	メーラ
랜돌프	ランドルフ
항소	アピール
항소	抗告
항소	上告
동물학	アニマル
동물학	動物
차이와	差異
차이와	違い
차이와	差分
엄지	親指
스나이더	スナイダー
크레딧	信用
크레딧	クレジット
다윗	デイヴィッド
다윗	ダビデ
다윗	デビッド
다윗	デヴィッド
세분화	絞り込む
세분화	精製
파이프라인	パイプライン
두껍게	厚い
두껍게	太い
나이오븀	ニオブ
테크네튬	テクネチウム
스페이드	スペード
샴푸	シャンプー
리빙스턴	リビングストン
바로가기	ショートカット
주사위	ダイス
주사위	サイコロ
토루	トル
브레이킹	速報
전보	電報
반역죄	反逆
신스케	紳助
플루오린	フッ素
폴로늄	ポロニウム
안티모니	アンチモン
로브	lob
타이머	タイマー
루체른	ルツェルン
기생충	寄生
기생충	寄生虫
지출	出費
비극적	悲惨
캐피털	資本
캐피털	首都
캐피털	キャピタル
빙글빙글	紡績
알람	アラーム
피터스	ペータース
피터스	ピーターズ
히데토시	秀俊
워크숍	ワークショップ
워크숍	作業場
수수료	手数料
삭감	切り傷
크롬웰	クロムウェル
부하라	ブハラ
나이스	ナイス
나이스	ニース
나이스	素敵
페스트	疫病
페스트	ペスト
스테이크	ステーキ
헥타르	ヘクタール
튤립	チューリップ
고등어	サバ
스탠딩	スタンディング
활기찬	活気
트렌드	トレンド
양치기	シェパード
마쓰오카	松岡
율리아	ジュリア
율리아	ユリア
키미코	君子
재고	株式
재고	ストック
조우	遭遇
조우	出会い
흔들어	振る
흔들어	シェイク
흔들어	shake
비대칭	非対称
본능	本能
퀘이커	クエーサー
허벅지	太もも
크로	クロウ
테리어	テリア
이마	おでこ
축적	集積
해리엇	ハリエット
담화	談話
확장자	延長
확장자	内線
이트륨	イットリウム
삼중	トリプル
가뭄	旱魃
가뭄	干ばつ
생성하기	生成
미혼	未婚
접합	タンジェント
루사카	ルサカ
소고기	ビーフ
소고기	牛肉
리니지	系統
성형	ビニール
성형	プラスチック
성형	プラスティック
척추동물	脊椎動物
트라키아	トラキア
대두	大豆
계시	啓示
브로커	ブローカー
믹서	ミキサー
파손	破損
휘파람	口笛
타이핑	タイピング
변위	変位
인라인	インライン
도버	ドーバー
도버	ドーヴァー
광대역	broadband
시스코	cisco
건강하게	ヘルシー
건강하게	健康
브렌다	ブレンダ
의존성	甘え
브리핑	ブリーフィング
브로츠와프	ヴロツワフ
비누	石鹸
태아	胎児
약품	医薬品
타이슨	タイソン
바나듐	バナジウム
잠재	ポテンシャル
콤프턴	コンプトン
루미아	lumia
괴물이	怪物
괴물이	モンスター
괴물이	怪獣
미식	グルメ
부커	ブッカー
아그네스	アグネス
재커리	ザカリー
고메즈	ゴメス
키노	キノ
강력하다	パワフル
다이너마이트	ダイナマイト
국적은	国籍
에스프레소	エスプレッソ
아웅	アウン
제곱수	正方形
구체	特定
개릿	ギャレット
기형	奇形
성취	功績
성취	事績
성취	達成
성취	実績
괴롭힘	嫌がらせ
괴롭힘	ハラスメント
진행하기	続行
비비안	ヴィヴィアン
데몬	daemon
데몬	デーモン
리스크	リスク
염소자리	ヤギ
해머스미스	ハマースミス
스카	スカ
시나리오는	シナリオ
철자	呪文
철자	スペル
툴킷	toolkit
후회	後悔
테런스	テレンス
그립	グリップ
마리안	マリアン
퀄리티	品質
퀄리티	クオリティ
퀄리티	画質
퀄리티	quality
수영복	水着
불안정	unstable
운전자	ドライバ
운전자	ドライバー
컨버터블	オープンカー
아람	アラム
페스티발	祭事
페스티발	祭り
이든	エデン
유비소프트	ubisoft
아이돌이	アイドル
아나스타샤	アナスタシア
하프늄	ハフニウム
관념	観念論
카와사키	川崎
낙지	オクトパス
낙지	タコ
스토킹	ストーカー
플로	フロー
플로	流れ
표명	表明
표명	主張
헤이스팅스	ヘイスティングス
마이어스	マイヤーズ
레퀴엠	レクイエム
좁다	狭い
간단하다	シンプル
간단하다	簡単
간단하다	単純
정직	正直
세륨	セリウム
쿨롱	クーロン
키클롭스	キュクロープス
음경	陰茎
음경	ペニス
결심	決める
능력자	能力
에이브릴	アブリル
심포지엄	シンポジウム
지혜로운	英明
필터링	ろ過
슐츠	シュルツ
라빈	ラビン
클로이	クロエ
팔레트	パレット
배럿	バレット
자존심	プライド
자존심	傲慢
자존심	誇り
편향	バイアス
과야킬	グアヤキル
라크로스	ラクロス
심플	シンプル
심플	簡単
심플	単純
부츠	ブーツ
하얗게	白い
하얗게	ホワイト
반점	斑点
스타일리스트	スタイリスト
진심	マジ
버거	ハンバーガー
메르켈	メルケル
습도	湿度
그웬	グウェン
그웬	グエン
불완전	不完全
메시아	メシア
스테이시	ステイシー
가드너	ガードナー
손톱	ネイル
코르넬리우스	コルネリウス
코르넬리우스	コーネリアス
캐스퍼	キャスパー
탐색기	エクスプローラー
슬림	スリム
드레퓌스	ドレイファス
스칸듐	スカンジウム
차오	チャオ
종착	終着駅
종착	終点
크라이스트	キリスト
펠프스	フェルプス
분실	ロスト
두분	二つ
두분	二人
레늄	レニウム
부엉이	フクロウ
부엉이	ふくろう
마쓰자카	松阪
모라비아	モラヴィア
다구치	田口
생강	ショウガ
생강	ジンジャー
생강	生姜
레지스트리	登記簿
라즈베리	ラズベリー
방문객	ビジター
인구조사	国勢調査
세로토닌	セロトニン
정수형	整数
린츠	リンツ
소녀들	ガールズ
캐리비안	カリブ
매춘	娼婦
시민들	市民
리치몬드	リッチモンド
텍스처	テクスチャー
텍스처	テクスチャ
망막	網膜
나바호	ナバホ
안정적	安定
빌더	builder
와인스타인	ワインスタイン
벤슨	ベンソン
레슨	教訓
레슨	レッスン
레슨	授業
재닛	ジャネット
히스패닉	ヒスパニック
낙서	グラフィティ
낙서	落書き
스턴	スターン
스턴	船尾
캐주얼	カジュアル
캐슬린	キャスリーン
압박	圧力
엘렉트라	エレクトラ
마일리	マイル
저장하기	セーブ
저장하기	保存
캐딜락	キャデラック
모나	モナ
취임식	発足
보름	ミミズ
나일론	ナイロン
호노리오	ホノリウス
앤젤레스	angeles
대장장이	鍛冶屋
아웃룩	outlook
지브리	ジブリ
로듐	ロジウム
면접	面接
면접	インタビュー
묻어	埋める
발데스	バルデス
호머	ホーマー
말라리아	マラリア
툴롱	トゥーロン
샤워	シャワー
세일	セール
카메라맨	カメラマン
닉네임	愛称
닉네임	ニックネーム
양심	良心
메시나	メッシーナ
다시보기	リプレイ
어려	若い
글로리	グローリー
창의성	創造性
창의성	創造力
퀘이사	クエーサー
힐튼	ヒルトン
챕터	チャプター
천사들	エンジェルス
천사들	天使
크리티컬	クリティカル
아르테미스	アルテミス
골드버그	ゴールドバーグ
행운	ラッキー
추정치	見積もり
오스트리아인	オーストリア
격리	検疫
덜레스	ダレス
안젤리크	アンジェリク
루드비히	ルートヴィヒ
슈뢰더	シュレッダー
스테퍼니	ステファニー
연필	鉛筆
영리한	賢い
맥락	コンテクスト
맥락	コンテキスト
맥락	context
워크샵	ワークショップ
워크샵	作業場
리셋	リセット
문방구	文房具
예금	預金
의정서	プロトコル
주방	キッチン
주방	台所
모랄레스	モラレス
성숙	満期
캡슐	カプセル
바스켓	バスケット
바스켓	かご
에머슨	エマーソン
성공적	サクセス
성공적	成功
봉사활동	ボランティア
브로드밴드	broadband
금발	金髪
금발	ブロンド
앵글	アングル
상환	返済
쓸모없는	役立たず
방전	退院
방전	除隊
방전	分泌物
삼바	サンバ
레네	ルネ
반역	反逆
카르티에	カルティエ
코뿔소	サイ
게이머	ゲーマー
요청하기	請求
요청하기	リクエスト
금연	喫煙
전시장	ショールーム
시간마다	毎時
시간마다	時給
배스	バス
배스	ベース
샤프트	シャフト
드리프트	ドリフト
설명서	manual
설명서	手動
설명서	マニュアル
오쿠라	小倉
유지보수	メンテナンス
유지보수	整備
팝업	ポップアップ
브로디	ブロディ
루시아	ルチア
루시아	ルシア
컨설턴트	コンサルタント
녹아웃	ノックアウト
알류샨	アリューシャン
겁쟁이	臆病者
최소화하기	最小限
구로카와	黒川
아만다	アマンダ
속삭임	囁き
절망	絶望
압축기	コンプレッサー
스타트업	起動
기만	欺瞞
폭풍우	ストーム
설득력	説得
소망	願いごと
배지	バナー
배지	バッジ
무르시아	ムルシア
시럽	シロップ
갑상선	甲状腺
증폭	amp
공동묘지	墓地
불가리아어	ブルガリア
앤트워프	アントワープ
트레일	トレイル
치어리더	チアリーダー
엑소시스트	エクソシスト
분홍	ピンク
분홍	ナデシコ
힐링	ヒーリング
책임감	責任
책임감	責務
습득	買収
세이퍼트	セイファート
레소토	レソト
레크리에이션	レクリエーション
디버깅	デバッグ
베르됭	ヴェルダン
피날레	フィナーレ
모가디슈	モガディシュ
카롤리나	カロライナ
포장마차	カート
포장마차	荷車
사보이아	サヴォイ
사보이아	サヴォワ
불투명한	不透明
스피츠	スピッツ
흡입	吸気
영광스러운	栄光
스틱스	スティック
비비	ビビ
농작물	トリミング
농작물	切り取る
농작물	切り取り
민지	ミン
민지	min
이슬	霧雨
걷는다	ウォーキング
걷는다	歩行
걷는다	歩く
템포	テンポ
약혼녀	婚約
약혼녀	フィアンセ
낭만적	ロマンチック
샴페인	シャンパン
달라스	ダラス
출혈	出血
약화	弱める
빙고	ビンゴ
빙고	備後
추상화	抽象
참석자	ゲスト
닷지	ダッジ
닷지	ドッジ
괴로움	苦しみ
플레인	フレア
음료수	飲み物
음료수	飲料
얄타	ヤルタ
아티스트가	芸術家
아티스트가	アーティスト
스핑크스	スフィンクス
페달	ペダル
수채화	水彩
수채화	水彩画
가져오기	フェッチ
가져오기	取得
힌덴부르크	ヒンデンブルク
힌덴부르크	ヒンデンブルグ
민아	ミン
민아	min
도킹	ドッキング
베이츠	ベイツ
코모	コモ
사이러스	キュロス
리허설	リハーサル
수미	スミ
망고	マンゴ
망고	マンゴー
워릭	ワーウィック
밀수	密輸
졸리	陽気
크롤	クロール
티타늄	チタン
구울	グール
공존	共存
키갈리	キガリ
정형외과	オルト
클래런스	クラレンス
헵번	ヘプバーン
에버렛	エヴァレット
사진술	撮影
사진술	写真
잔다	グラス
잔다	ガラス
동창생	クラスメイト
동창생	同級生
무관심	無関心
피아첸차	ピアチェンツァ
성관계	性別
성관계	セックス
약관	規約
약관	用語
투척	チャック
건널목	クロッシング
치와와	チワワ
통조림	缶詰
바하두르	バハードゥル
혼잡	混雑
괴짜	変人
하데스	ハーデース
코디네이터	コーディネーター
스케일	スケール
스케일	縮尺
스케일	目盛
놀이기구	配車
멘트	男性
멘트	メン
고침	リフレッシュ
고침	更新
망토	マントル
햄프턴	ハンプトン
인대	靭帯
캔버스	キャンバス
재결합	再会
타카	タカ
공격자가	アタッカー
칼로리	カロリー
잡음	ノイズ
잡음	騒音
화씨	華氏
수술과	手術
아르메니아어	アルメニア
슬래시	スラッシュ
누출	リーク
가석방	仮釈放
넵튠	海王星
넵튠	ネプチューン
자랑	自慢
집중하기	焦点
집중하기	フォーカス
메뚜기	バッタ
스타일스	スタイル
켈로그	ケロッグ
승낙	同意
승낙	承諾
두꺼비	キノピオ
두꺼비	ヒキガエル
책갈피	お気に入り
책갈피	好み
축전기	コンデンサ
염색	塗り絵
리자	リザ
증폭기	アンプ
정확성	正確性
정확성	精度
발산	発散
저녁식사	ディナー
저녁식사	夕食
미나마타	水俣
바이오스	bios
골절	骨折
골절	破壊
오노미치	尾道
작용소	オペレーター
인상주의	印象派
타이푼	台風
슬립	スリップ
하딩	ハーディング
인간인	ヒト
인간인	ヒューマン
인간인	人間
찢어진	裂傷
텐트	テント
뭐든	何でも
칼뱅	カルヴィン
타타	タタ
타블로이드	タブロイド
영구적	パーマネント
크로퍼드	クロフォード
안타나나리보	アンタナナリボ
울음	泣く
삐삐	ピッピ
상추	レタス
스캐너	スキャナ
프린트	印刷
침식	侵食
지루한	退屈
지루한	つまらない
로렌조	ロレンツォ
로렌조	ロレンソ
마일리지	マイル
바이올렛	バイオレット
딜레마	ジレンマ
클루니	クルーニー
마르그리트	マーガレット
해파리	クラゲ
뼈대	スケルトン
뼈대	骨格
피크닉	ピクニック
아일랜드인	アイリッシュ
사마귀	カマキリ
증발	蒸発
에즈라	エズラ
제공자	プロバイダ
제공자	プロバイダー
도덕성	道徳
조르당	ヨルダン
조르당	ジョーダン
스티어링	ステアリング
스토크스	ストークス
페낭	ペナン
터커	タッカー
접두사	プレフィックス
감동	impress
양조	醸造
암모늄	アンモニウム
마티외	マチュー
약혼	婚約
피카소	ピカソ
타카시마	高島
이어폰	ヘッドホン
광부	鉱夫
미용	美容
최적	最適
쉼터	シェルター
쉼터	避難所
코스모	コスモ
라디오방송	ラジオ
송어	マス
광안리	光学
멜리사	メリッサ
투싼	ツーソン
손수건	ハンカチ
곡식	穀物
단위계	単位
단위계	ユニット
그라디우스	グラディウス
카페인	カフェイン
아카데미아	アカデミー
관찰자	オブザーバー
관찰자	オブザーバ
잡스	ジョブ
잡스	求人
디코딩	解読
디코딩	デコード
구스타보	グスタボ
환기	換気
맞춤	風習
맞춤	カスタム
멀다	far
멀다	遠く
멀다	遠い
기념품	土産物
기념품	土産
엘리아스	エリアス
엘리아스	イライアス
미드나잇	ミッドナイト
미드나잇	真夜中
대홍수	洪水
패트리샤	パトリシア
재능있는	才能
매그너스	マグナス
카자크	コサック
골목	裏通り
골목	路地
위임통치령	委任
산호	サンゴ
쿠스코	クスコ
페르가나	フェルガナ
스플래시	スプラッシュ
딜러	ディーラー
빅스	ビッグス
흑사병	疫病
흑사병	ペスト
모네	モネ
흥분	わくわく
흥분	ワクワク
흥분	興奮
범퍼	バンパー
어둡게	薄暗い
커밍스	カミングス
대류	対流
라켓	ラケット
유용	役に立つ
스콜피온	スコーピオン
스콜피온	サソリ
즉흥	即興
일치합니다	マッチ
일치합니다	一致
등반	登山
등반	クライミング
브랜디	ブランデー
콜레스테롤	コレステロール
테구시갈파	テグシガルパ
입찰	入札
제트기	ジェット機
제트기	ジェット
타르투	タルトゥ
파트너는	パートナー
크리틱스	評論家
크리틱스	批評家
약국	薬学
약국	薬局
제어하기	コントロール
스낵	スナック
자신감	自信
자신감	信頼
요코타	横田
타자기	タイプライター
쉬워	イージー
쉬워	易しい
쉬워	やさしい
쉬워	簡単
에펠	エッフェル
랍비	ラビ
마르티니크	マルティニーク
기부금	募金
기부금	寄付
죄인	罪人
포옹	ハグ
입력기	入力
팩트	事実
축복	祝福
뚜껑	カウル
제르맹	ジェルマン
트렌트	トレント
세레나데	セレナーデ
콜레라	コレラ
코사인	コサイン
파워포인트	powerpoint
가와무라	川村
정산	支払い
주방장	シェフ
크루거	クリューガー
주디스	ジュディス
효모	酵母
멕시코인	メキシコ
멕시코인	メキシカン
미카사	三笠
조리법	レシピ
인스브루크	インスブルック
변칙	アノマリー
셰리	シェリー
약점	弱点
스팟	斑点
바네사	ヴァネッサ
프로젝터	プロジェクター
라이언스	ライオン
라이언스	ライオンズ
다마키	たまき
마루가메	丸亀
전극	電極
크리슈나	クリシュナ
무르만스크	ムルマンスク
발작	差押え
발작	押収
팝콘	ポップコーン
룬드	ルンド
프라이데이	金曜日
프라이데이	フライデー
이득	利得
뇌졸중	ストローク
침실	寝室
선셋	夕焼け
선셋	日没
혼수	昏睡
프로즌	フローズン
야생동물	野生動物
샤넬	シャネル
티아	ティア
육식성	肉食動物
미팅	ミーティング
미팅	会議
헤이든	ヘイデン
천식	ぜんそく
천식	喘息
퓨리	激怒
퓨리	フューリー
노크	ノック
센다	セン
브로콜리	ブロッコリー
관련성	関連
청바지	ジーンズ
영묘	霊廟
영묘	陵墓
스와질란드	スワジランド
동무	同志
동무	仲間
발레리나	バレリーナ
평가하기	評価
평가하기	格付
롤라	ローラ
아스트로	アストロ
양복	スーツ
양복	背広
셀마	セルマ
뷰캐넌	ブキャナン
바텐더	バーテンダー
통행금지	門限
포르탈레자	フォルタレザ
로프	ロープ
은행원	銀行員
눈썹	眉毛
눈썹	まゆ
크랭크	クランク
살인범	殺人犯
살인범	人殺し
회장님	会長
회장님	議長
귀여워	キュート
귀여워	かわいい
귀여워	可愛い
공생	共生
뽑기	引っ張る
뽑기	プル
아켓	アークエット
기가바이트	ギガバイト
동맥	動脈
양귀비	ケシ
푸조	プジョー
코팅	コーティング
엽서	はがき
존경	尊敬
존경	尊重
존경	リスペクト
존경	敬意
잉어	コイ
만돌린	マンドリン
스윙스	スウィング
스윙스	スイング
보름스	ミミズ
청취	リスナー
쐐기	ウェッジ
게시	ポスト
게시	投稿
침팬지	チンパンジー
수크레	スクレ
경치	風景
경치	景色
카네다	金田
노바라	ノヴァーラ
맥그리거	マクレガー
타르	タール
플룻	フルート
버릇	習慣
불균형	不均衡
플레이보이	プレイボーイ
소모	消耗
후원자	サポーター
인디고	インディゴ
파크스	公園
과들루프	グアドループ
엠블렘	エンブレム
포트폴리오	ポートフォリオ
과달루페	グアドループ
챈들러	チャンドラー
확률론	確率
알렉사	アレクサ
카멜	キャメル
카멜	ラクダ
블랙리스트	ブラックリスト
브래그	ブラッグ
진료소	クリニック
진료소	診療所
페퍼	ペッパー
페퍼	胡椒
페퍼	コショウ
기모노	着物
기모노	和服
참치	マグロ
참치	ツナ
석면	石綿
지워	消去
트롬본	トロンボーン
스타브로폴	スタヴロポリ
아모스	アモス
민수	ミン
민수	min
외과의사	外科医
허비	ハービー
카트리나	カトリーナ
증명서	証明書
증명서	証書
키로프	キーロフ
단추	ボタン
정확도	正確性
정확도	精度
스팅	スティング
무겁게	重い
무겁게	ヘビー
윈터스	ウィンタース
거버넌스	ガバナンス
헤르츠	ヘルツ
트라팔가	トラファルガー
카르마	カルマ
스프레드시트	スプレッドシート
폰티액	ポンティアック
파레토	パレート
알마	アルマ
트레이스	トレース
타타르어	タタール
바울	ポール
바울	パウル
앨릭	アレク
앨릭	アレック
속박	緊縛
추가하기	追加
추가하기	加算
삭제하기	削除
스튜	シチュー
소책자	パンフレット
소책자	小冊子
디카프리오	ディカプリオ
시사회	初演
플랑크톤	プランクトン
팬티	パンティー
모텔	モーテル
이불	毛布
이불	ブランケット
펩시	ペプシ
스푼	スプーン
훌라	フラ
레오파르트	ヒョウ
텔레파시	テレパシー
딱지	かさぶた
딱지	クズ
광석	鉱石
코폴라	コッポラ
뱀과	ヘビ
정맥	静脈
슬레이터	スレーター
툰드라	ツンドラ
헌신	献身
워크스테이션	ワークステーション
육각형	六角形
노틸러스	nautilus
번영	栄え
키리바시	キリバス
히드라	ヒドラ
수동적	パッシブ
계단식	カスケード
계단식	cascade
비트토렌트	bittorrent
탁상	卓上
리모컨	リモート
명시	明示
일출	日の出
찢어	リッピング
찢어	rip
